newid,Isolate_Id,Isolate_Name,Collection_Date,Subtype,Genotype,Location,continent,host,host_type,Wild bird order
EPI_ISL_19232151|A/Red_fox/Norway/2024-80-16-1/2024|H5N5|Europe|2024-02-21|nonhuman_mammal|A6 ,EPI_ISL_19232151,A/Red_fox/Norway/2024-80-16-1/2024,2024.02.21,H5N5,A6 ,Europe / Norway / Troms Fylke / Storfjord / Skibotn,Europe,Red_fox,nonhuman_mammal,
EPI_ISL_19701146|A/Otter/Norway/2024-80-165/2024|H5N5|Europe|2024-10-14|nonhuman_mammal|A6 ,EPI_ISL_19701146,A/Otter/Norway/2024-80-165/2024,2024.10.14,H5N5,A6 ,Europe / Norway / Troms Fylke / Tromso,Europe,Otter,nonhuman_mammal,
EPI_ISL_19880213|A/Red_fox/Norway/2025-80-74/2025|H5N5|Europe|2025-04-10|nonhuman_mammal|A6 ,EPI_ISL_19880213,A/Red_fox/Norway/2025-80-74/2025,2025.04.10,H5N5,A6 ,Europe / Norway / Troms Fylke / Tromso,Europe,Red_fox,nonhuman_mammal,
EPI_ISL_20068179|A/Red_Fox/Norway/2025-80-74-1-15/2025|H5N5|Europe|2025-04-10|nonhuman_mammal|A6 ,EPI_ISL_20068179,A/Red_Fox/Norway/2025-80-74-1-15/2025,2025.04.10,H5N5,A6 ,Europe / Norway / Troms Fylke / Tromso,Europe,Red_Fox,nonhuman_mammal,
EPI_ISL_18901640|A/White-tailed_eagle/Norway/2022-07-196-1/2022|H5N5|Europe|2022-03-25|wild_avian|A6 ,EPI_ISL_18901640,A/White-tailed_eagle/Norway/2022-07-196-1/2022,2022.03.25,H5N5,A6 ,Europe / Norway / Troms Fylke / Tromso / Troms,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_16209278|A/waterfowl/Russia/1526-4/2021|H5N5|Europe|2021-09-28|wild_avian|A6 ,EPI_ISL_16209278,A/waterfowl/Russia/1526-4/2021,2021.09.28,H5N5,A6 ,Europe / Russian Federation,Europe,waterfowl,wild_avian,Anseriformes
EPI_ISL_16209277|A/shelduck/Kalmykia/1814-1/2021|H5N5|Europe|2021-11-08|wild_avian|A6 ,EPI_ISL_16209277,A/shelduck/Kalmykia/1814-1/2021,2021.11.08,H5N5,A6 ,Europe / Russian Federation / Republic of Kalmykia,Europe,shelduck,wild_avian,Anseriformes
EPI_ISL_18963363|A/Glaucous_gull/Norway/2022-07-1148-S /2022|H5N5|Europe|2022-06-17|wild_avian|A6 ,EPI_ISL_18963363,A/Glaucous_gull/Norway/2022-07-1148-S /2022,2022.06.17,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Glaucous_gull,wild_avian,Charadriiformes
EPI_ISL_18963364|A/Great_skua/Norway/2022-07-1486-3/2022|H5N5|Europe|2022-07-07|wild_avian|A6 ,EPI_ISL_18963364,A/Great_skua/Norway/2022-07-1486-3/2022,2022.07.07,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Great_skua,wild_avian,Charadriiformes
EPI_ISL_18963365|A/Great_skua/Norway/2022-07-1486-4/2022|H5N5|Europe|2022-07-07|wild_avian|A6 ,EPI_ISL_18963365,A/Great_skua/Norway/2022-07-1486-4/2022,2022.07.07,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Great_skua,wild_avian,Charadriiformes
EPI_ISL_18963366|A/Great_skua/Norway/2022-07-1486-5/2022|H5N5|Europe|2022-07-07|wild_avian|A6 ,EPI_ISL_18963366,A/Great_skua/Norway/2022-07-1486-5/2022,2022.07.07,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Great_skua,wild_avian,Charadriiformes
EPI_ISL_18963370|A/Glaucous_gull/Norway/2023-07-1149/2023|H5N5|Europe|2023-06-20|wild_avian|A6 ,EPI_ISL_18963370,A/Glaucous_gull/Norway/2023-07-1149/2023,2023.06.20,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Glaucous_gull,wild_avian,Charadriiformes
EPI_ISL_18963391|A/Sand_piper/Norway/2023-07-2521/2023|H5N5|Europe|2023-09-18|wild_avian|A6 ,EPI_ISL_18963391,A/Sand_piper/Norway/2023-07-2521/2023,2023.09.18,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Sand_piper,wild_avian,Charadriiformes
EPI_ISL_20127327|A/Arctic_fox/Norway/2025-04-19222-2-2/2025|H5N5|Europe|2025-07-25|nonhuman_mammal|A6 ,EPI_ISL_20127327,A/Arctic_fox/Norway/2025-04-19222-2-2/2025,2025.07.25,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Arctic_fox,nonhuman_mammal,
EPI_ISL_20127650|A/Arctic_fox/Norway/2025-04-19222-3-2/2025|H5N5|Europe|2025-07-25|nonhuman_mammal|A6 ,EPI_ISL_20127650,A/Arctic_fox/Norway/2025-04-19222-3-2/2025,2025.07.25,H5N5,A6 ,Europe / Svalbard and Jan Mayen,Europe,Arctic_fox,nonhuman_mammal,
EPI_ISL_18454937|A/Glaucous_gull/Norway/2022-07-1148/2022|H5N5|Europe|2022-06-13|wild_avian|A6 ,EPI_ISL_18454937,A/Glaucous_gull/Norway/2022-07-1148/2022,2022.06.13,H5N5,A6 ,Europe / Svalbard and Jan Mayen / Svalbard,Europe,Glaucous_gull,wild_avian,Charadriiformes
EPI_ISL_18877922|A/Great_skua/Norway/2022-07-1486-1/2022|H5N5|Europe|2022-06-26|wild_avian|A6 ,EPI_ISL_18877922,A/Great_skua/Norway/2022-07-1486-1/2022,2022.06.26,H5N5,A6 ,Europe / Svalbard and Jan Mayen / Svalbard,Europe,Great_skua,wild_avian,Charadriiformes
EPI_ISL_18378733|A/Herring_Gull/England/123277/2023|H5N5|Europe|2023-09-25|wild_avian|A6 ,EPI_ISL_18378733,A/Herring_Gull/England/123277/2023,2023.09.25,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_18592432|A/Herring_gull/England/404234/2023|H5N5|Europe|2023-10-06|wild_avian|A6 ,EPI_ISL_18592432,A/Herring_gull/England/404234/2023,2023.10.06,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_gull,wild_avian,Charadriiformes
EPI_ISL_18592433|A/Herring_gull/England/404384/2023|H5N5|Europe|2023-10-10|wild_avian|A6 ,EPI_ISL_18592433,A/Herring_gull/England/404384/2023,2023.10.10,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_gull,wild_avian,Charadriiformes
EPI_ISL_18592431|A/Common_gull/England/129428/2023|H5N5|Europe|2023-10-27|wild_avian|A6 ,EPI_ISL_18592431,A/Common_gull/England/129428/2023,2023.10.27,H5N5,A6 ,Europe / United Kingdom / England,Europe,Common_gull,wild_avian,Charadriiformes
EPI_ISL_18592430|A/Common_buzzard/England/264162/2023|H5N5|Europe|2023-11-03|wild_avian|A6 ,EPI_ISL_18592430,A/Common_buzzard/England/264162/2023,2023.11.03,H5N5,A6 ,Europe / United Kingdom / England,Europe,Common_buzzard,wild_avian,Accipitriformes
EPI_ISL_19016255|A/Sparrowhawk/England/133485/2024|H5N5|Europe|2024-02-20|wild_avian|A6 ,EPI_ISL_19016255,A/Sparrowhawk/England/133485/2024,2024.02.20,H5N5,A6 ,Europe / United Kingdom / England,Europe,Sparrowhawk,wild_avian,Accipitriformes
EPI_ISL_19016256|A/Sparrowhawk/England/133522/2024|H5N5|Europe|2024-02-21|wild_avian|A6 ,EPI_ISL_19016256,A/Sparrowhawk/England/133522/2024,2024.02.21,H5N5,A6 ,Europe / United Kingdom / England,Europe,Sparrowhawk,wild_avian,Accipitriformes
EPI_ISL_19410361|A/herring_gull/England/134425/2024|H5N5|Europe|2024-03-19|wild_avian|A6 ,EPI_ISL_19410361,A/herring_gull/England/134425/2024,2024.03.19,H5N5,A6 ,Europe / United Kingdom / England,Europe,herring_gull,wild_avian,Charadriiformes
EPI_ISL_19521516|A/Pheasant/England/044085/2024|H5N5|Europe|2024-09-23|domestic_avian|A6 ,EPI_ISL_19521516,A/Pheasant/England/044085/2024,2024.09.23,H5N5,A6 ,Europe / United Kingdom / England,Europe,Pheasant,domestic_avian,
EPI_ISL_19521544|A/Herring_Gull/England/140439/2024|H5N5|Europe|2024-09-24|wild_avian|A6 ,EPI_ISL_19521544,A/Herring_Gull/England/140439/2024,2024.09.24,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521518|A/Common_Gull/England/140522/2024|H5N5|Europe|2024-09-25|wild_avian|A6 ,EPI_ISL_19521518,A/Common_Gull/England/140522/2024,2024.09.25,H5N5,A6 ,Europe / United Kingdom / England,Europe,Common_Gull,wild_avian,Charadriiformes
EPI_ISL_19521519|A/Common_Gull/England/140529/2024|H5N5|Europe|2024-09-25|wild_avian|A6 ,EPI_ISL_19521519,A/Common_Gull/England/140529/2024,2024.09.25,H5N5,A6 ,Europe / United Kingdom / England,Europe,Common_Gull,wild_avian,Charadriiformes
EPI_ISL_19521532|A/Herring_Gull/England/140534/2024|H5N5|Europe|2024-09-25|wild_avian|A6 ,EPI_ISL_19521532,A/Herring_Gull/England/140534/2024,2024.09.25,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521533|A/Herring_Gull/England/140537/2024|H5N5|Europe|2024-09-25|wild_avian|A6 ,EPI_ISL_19521533,A/Herring_Gull/England/140537/2024,2024.09.25,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521521|A/Fulmar/England/140689/2024|H5N5|Europe|2024-09-27|wild_avian|A6 ,EPI_ISL_19521521,A/Fulmar/England/140689/2024,2024.09.27,H5N5,A6 ,Europe / United Kingdom / England,Europe,Fulmar,wild_avian,Procellariiformes
EPI_ISL_19521522|A/Fulmar/England/140702/2024|H5N5|Europe|2024-09-27|wild_avian|A6 ,EPI_ISL_19521522,A/Fulmar/England/140702/2024,2024.09.27,H5N5,A6 ,Europe / United Kingdom / England,Europe,Fulmar,wild_avian,Procellariiformes
EPI_ISL_19521523|A/Fulmar/England/140710/2024|H5N5|Europe|2024-09-28|wild_avian|A6 ,EPI_ISL_19521523,A/Fulmar/England/140710/2024,2024.09.28,H5N5,A6 ,Europe / United Kingdom / England,Europe,Fulmar,wild_avian,Procellariiformes
EPI_ISL_19521534|A/Herring_Gull/England/140706/2024|H5N5|Europe|2024-09-28|wild_avian|A6 ,EPI_ISL_19521534,A/Herring_Gull/England/140706/2024,2024.09.28,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521520|A/Cormorant/England/281523/2024|H5N5|Europe|2024-09-30|wild_avian|A6 ,EPI_ISL_19521520,A/Cormorant/England/281523/2024,2024.09.30,H5N5,A6 ,Europe / United Kingdom / England,Europe,Cormorant,wild_avian,Suliformes
EPI_ISL_19611318|A/Common_Buzzard/England/416223/2024|H5N5|Europe|2024-10-01|wild_avian|A6 ,EPI_ISL_19611318,A/Common_Buzzard/England/416223/2024,2024.10.01,H5N5,A6 ,Europe / United Kingdom / England,Europe,Common_Buzzard,wild_avian,Accipitriformes
EPI_ISL_19521535|A/Herring_Gull/England/140826/2024|H5N5|Europe|2024-10-01|wild_avian|A6 ,EPI_ISL_19521535,A/Herring_Gull/England/140826/2024,2024.10.01,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521517|A/Black_Headed_Gull/England/045994/2024|H5N5|Europe|2024-10-02|wild_avian|A6 ,EPI_ISL_19521517,A/Black_Headed_Gull/England/045994/2024,2024.10.02,H5N5,A6 ,Europe / United Kingdom / England,Europe,Black_Headed_Gull,wild_avian,Charadriiformes
EPI_ISL_19521540|A/Herring_Gull/England/360367/2024|H5N5|Europe|2024-10-02|wild_avian|A6 ,EPI_ISL_19521540,A/Herring_Gull/England/360367/2024,2024.10.02,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521528|A/Great_Black_Backed_Gull/England/046080/2024|H5N5|Europe|2024-10-04|wild_avian|A6 ,EPI_ISL_19521528,A/Great_Black_Backed_Gull/England/046080/2024,2024.10.04,H5N5,A6 ,Europe / United Kingdom / England,Europe,Great_Black_Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19521536|A/Herring_Gull/England/141004/2024|H5N5|Europe|2024-10-04|wild_avian|A6 ,EPI_ISL_19521536,A/Herring_Gull/England/141004/2024,2024.10.04,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521541|A/Herring_Gull/England/360557/2024|H5N5|Europe|2024-10-07|wild_avian|A6 ,EPI_ISL_19521541,A/Herring_Gull/England/360557/2024,2024.10.07,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521537|A/Herring_Gull/England/141013/2024|H5N5|Europe|2024-10-08|wild_avian|A6 ,EPI_ISL_19521537,A/Herring_Gull/England/141013/2024,2024.10.08,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521538|A/Herring_Gull/England/141019/2024|H5N5|Europe|2024-10-08|wild_avian|A6 ,EPI_ISL_19521538,A/Herring_Gull/England/141019/2024,2024.10.08,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19521539|A/Herring_Gull/England/141099/2024|H5N5|Europe|2024-10-09|wild_avian|A6 ,EPI_ISL_19521539,A/Herring_Gull/England/141099/2024,2024.10.09,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19611317|A/Common_Buzzard/England/141842/2024|H5N5|Europe|2024-10-24|wild_avian|A6 ,EPI_ISL_19611317,A/Common_Buzzard/England/141842/2024,2024.10.24,H5N5,A6 ,Europe / United Kingdom / England,Europe,Common_Buzzard,wild_avian,Accipitriformes
EPI_ISL_19611319|A/Pheasant/England/416802/2024|H5N5|Europe|2024-10-31|domestic_avian|A6 ,EPI_ISL_19611319,A/Pheasant/England/416802/2024,2024.10.31,H5N5,A6 ,Europe / United Kingdom / England,Europe,Pheasant,domestic_avian,
EPI_ISL_19611320|A/Pheasant/England/416803/2024|H5N5|Europe|2024-10-31|domestic_avian|A6 ,EPI_ISL_19611320,A/Pheasant/England/416803/2024,2024.10.31,H5N5,A6 ,Europe / United Kingdom / England,Europe,Pheasant,domestic_avian,
EPI_ISL_19902019|A/Chicken/England/050610/2024|H5N5|Europe|2024-11-04|domestic_avian|A6 ,EPI_ISL_19902019,A/Chicken/England/050610/2024,2024.11.04,H5N5,A6 ,Europe / United Kingdom / England,Europe,Chicken,domestic_avian,
EPI_ISL_19902018|A/Red_Kite/England/055216/2024|H5N5|Europe|2024-11-13|wild_avian|A6 ,EPI_ISL_19902018,A/Red_Kite/England/055216/2024,2024.11.13,H5N5,A6 ,Europe / United Kingdom / England,Europe,Red_Kite,wild_avian,Accipitriformes
EPI_ISL_19756936|A/Seal/England/011869/2025|H5N5|Europe|2025-02-05|nonhuman_mammal|A6 ,EPI_ISL_19756936,A/Seal/England/011869/2025,2025.02.05,H5N5,A6 ,Europe / United Kingdom / England,Europe,Seal,nonhuman_mammal,
EPI_ISL_19756937|A/Seal/England/011870/2025|H5N5|Europe|2025-02-05|nonhuman_mammal|A6 ,EPI_ISL_19756937,A/Seal/England/011870/2025,2025.02.05,H5N5,A6 ,Europe / United Kingdom / England,Europe,Seal,nonhuman_mammal,
EPI_ISL_19901909|A/Gull/England/011857/2025|H5N5|Europe|2025-02-05|wild_avian|A6 ,EPI_ISL_19901909,A/Gull/England/011857/2025,2025.02.05,H5N5,A6 ,Europe / United Kingdom / England,Europe,Gull,wild_avian,Charadriiformes
EPI_ISL_19779798|A/Grey_Seal/England/014816/2025|H5N5|Europe|2025-02-14|nonhuman_mammal|A6 ,EPI_ISL_19779798,A/Grey_Seal/England/014816/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Grey_Seal,nonhuman_mammal,
EPI_ISL_19779800|A/Grey_Seal/England/014913/2025|H5N5|Europe|2025-02-14|nonhuman_mammal|A6 ,EPI_ISL_19779800,A/Grey_Seal/England/014913/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Grey_Seal,nonhuman_mammal,
EPI_ISL_19779801|A/Grey_Seal/England/014917/2025|H5N5|Europe|2025-02-14|nonhuman_mammal|A6 ,EPI_ISL_19779801,A/Grey_Seal/England/014917/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Grey_Seal,nonhuman_mammal,
EPI_ISL_19779802|A/Grey_Seal/England/014941/2025|H5N5|Europe|2025-02-14|nonhuman_mammal|A6 ,EPI_ISL_19779802,A/Grey_Seal/England/014941/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Grey_Seal,nonhuman_mammal,
EPI_ISL_19779803|A/Grey_Seal/England/014976/2025|H5N5|Europe|2025-02-14|nonhuman_mammal|A6 ,EPI_ISL_19779803,A/Grey_Seal/England/014976/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Grey_Seal,nonhuman_mammal,
EPI_ISL_19779804|A/Grey_Seal/England/014989/2025|H5N5|Europe|2025-02-14|nonhuman_mammal|A6 ,EPI_ISL_19779804,A/Grey_Seal/England/014989/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Grey_Seal,nonhuman_mammal,
EPI_ISL_19896367|A/Fulmar/England/016501/2025|H5N5|Europe|2025-02-14|wild_avian|A6 ,EPI_ISL_19896367,A/Fulmar/England/016501/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Fulmar,wild_avian,Procellariiformes
EPI_ISL_19901982|A/Fulmar/England/016621/2025|H5N5|Europe|2025-02-14|wild_avian|A6 ,EPI_ISL_19901982,A/Fulmar/England/016621/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Fulmar,wild_avian,Procellariiformes
EPI_ISL_19901984|A/Fulmar/England/016619/2025|H5N5|Europe|2025-02-14|wild_avian|A6 ,EPI_ISL_19901984,A/Fulmar/England/016619/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Fulmar,wild_avian,Procellariiformes
EPI_ISL_19779799|A/Greater_Black_Backed_Gull/England/014827/2025|H5N5|Europe|2025-02-14|wild_avian|A6 ,EPI_ISL_19779799,A/Greater_Black_Backed_Gull/England/014827/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Greater_Black_Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19779796|A/Herring_Gull/England/014794/2025|H5N5|Europe|2025-02-14|wild_avian|A6 ,EPI_ISL_19779796,A/Herring_Gull/England/014794/2025,2025.02.14,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19779830|A/Herring_Gull/England/286555/2025|H5N5|Europe|2025-02-17|wild_avian|A6 ,EPI_ISL_19779830,A/Herring_Gull/England/286555/2025,2025.02.17,H5N5,A6 ,Europe / United Kingdom / England,Europe,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_18592415|A/Great_Black-Backed_Gull/Scotland/123498/2023|H5N5|Europe|2023-09-25|wild_avian|A6 ,EPI_ISL_18592415,A/Great_Black-Backed_Gull/Scotland/123498/2023,2023.09.25,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19410363|A/common_buzzard/Scotland/008830/2024|H5N5|Europe|2024-03-04|wild_avian|A6 ,EPI_ISL_19410363,A/common_buzzard/Scotland/008830/2024,2024.03.04,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,common_buzzard,wild_avian,Accipitriformes
EPI_ISL_19410362|A/red_kite/Scotland/011791/2024|H5N5|Europe|2024-03-07|wild_avian|A6 ,EPI_ISL_19410362,A/red_kite/Scotland/011791/2024,2024.03.07,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,red_kite,wild_avian,Accipitriformes
EPI_ISL_19410357|A/Great_Skua/Scotland/036477/2024|H5N5|Europe|2024-07-25|wild_avian|A6 ,EPI_ISL_19410357,A/Great_Skua/Scotland/036477/2024,2024.07.25,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Skua,wild_avian,Charadriiformes
EPI_ISL_19521510|A/Great_Skua/Scotland/043850/2024|H5N5|Europe|2024-09-17|wild_avian|A6 ,EPI_ISL_19521510,A/Great_Skua/Scotland/043850/2024,2024.09.17,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Skua,wild_avian,Charadriiformes
EPI_ISL_19521511|A/Great_Skua/Scotland/043851/2024|H5N5|Europe|2024-09-17|wild_avian|A6 ,EPI_ISL_19521511,A/Great_Skua/Scotland/043851/2024,2024.09.17,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Skua,wild_avian,Charadriiformes
EPI_ISL_19521512|A/Great_Black-Backed_Gull/Scotland/043863/2024|H5N5|Europe|2024-09-19|wild_avian|A6 ,EPI_ISL_19521512,A/Great_Black-Backed_Gull/Scotland/043863/2024,2024.09.19,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19521513|A/Great_Black-Backed_Gull/Scotland/043865/2024|H5N5|Europe|2024-09-19|wild_avian|A6 ,EPI_ISL_19521513,A/Great_Black-Backed_Gull/Scotland/043865/2024,2024.09.19,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19521514|A/Great_Black-Backed_Gull/Scotland/043866/2024|H5N5|Europe|2024-09-19|wild_avian|A6 ,EPI_ISL_19521514,A/Great_Black-Backed_Gull/Scotland/043866/2024,2024.09.19,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19521515|A/Great_Skua/Scotland/043869/2024|H5N5|Europe|2024-09-19|wild_avian|A6 ,EPI_ISL_19521515,A/Great_Skua/Scotland/043869/2024,2024.09.19,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Skua,wild_avian,Charadriiformes
EPI_ISL_19521529|A/Great_Black_Backed_Gull/Scotland/044475/2024|H5N5|Europe|2024-09-23|wild_avian|A6 ,EPI_ISL_19521529,A/Great_Black_Backed_Gull/Scotland/044475/2024,2024.09.23,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Black_Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19521530|A/Great_Black_Backed_Gull/Scotland/044478/2024|H5N5|Europe|2024-09-23|wild_avian|A6 ,EPI_ISL_19521530,A/Great_Black_Backed_Gull/Scotland/044478/2024,2024.09.23,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Great_Black_Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19902020|A/White_Tailed_Eagle/Scotland/050287/2024|H5N5|Europe|2024-09-24|wild_avian|A6 ,EPI_ISL_19902020,A/White_Tailed_Eagle/Scotland/050287/2024,2024.09.24,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,White_Tailed_Eagle,wild_avian,Accipitriformes
EPI_ISL_19521542|A/Kestral/Scotland/044473/2024|H5N5|Europe|2024-09-27|wild_avian|A6 ,EPI_ISL_19521542,A/Kestral/Scotland/044473/2024,2024.09.27,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Kestral,wild_avian,Falconiformes
EPI_ISL_19521524|A/Fulmar/Scotland/045255/2024|H5N5|Europe|2024-09-30|wild_avian|A6 ,EPI_ISL_19521524,A/Fulmar/Scotland/045255/2024,2024.09.30,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Fulmar,wild_avian,Procellariiformes
EPI_ISL_19521525|A/Gannet/Scotland/046592/2024|H5N5|Europe|2024-10-04|wild_avian|A6 ,EPI_ISL_19521525,A/Gannet/Scotland/046592/2024,2024.10.04,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Gannet,wild_avian,Suliformes
EPI_ISL_19896333|A/Gannet/Scotland/046981/2024|H5N5|Europe|2024-10-11|wild_avian|A6 ,EPI_ISL_19896333,A/Gannet/Scotland/046981/2024,2024.10.11,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Gannet,wild_avian,Suliformes
EPI_ISL_19800935|A/Barn_Owl/Scotland/014863/2025|H5N5|Europe|2025-02-19|wild_avian|A6 ,EPI_ISL_19800935,A/Barn_Owl/Scotland/014863/2025,2025.02.19,H5N5,A6 ,Europe / United Kingdom / Scotland,Europe,Barn_Owl,wild_avian,Strigiformes
EPI_ISL_18702956|A/American_Crow/NB/FAV-0095-1/2023|H5N5|North America|2023-02-02|wild_avian|A6 ,EPI_ISL_18702956,A/American_Crow/NB/FAV-0095-1/2023,2023.02.02,H5N5,A6 ,North America / Canada / New Brunswick / Saint John,North America,American_Crow,wild_avian,Passeriformes
EPI_ISL_20067317|A/Raccoon/NB/FAV-0157-4/2025|H5N5|North America|2025-03-21|nonhuman_mammal|A6 ,EPI_ISL_20067317,A/Raccoon/NB/FAV-0157-4/2025,2025.03.21,H5N5,A6 ,North America / Canada / New Brunswick / Saint John,North America,Raccoon,nonhuman_mammal,
EPI_ISL_19260107|A/Great_Black-Backed_Gull/NL/FAV-0430-7/2023|H5N5|North America|2023-09-28|wild_avian|A6 ,EPI_ISL_19260107,A/Great_Black-Backed_Gull/NL/FAV-0430-7/2023,2023.09.28,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Atlantic Ocean,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19260109|A/Herring_Gull/NL/FAV-0375-3/2023|H5N5|North America|2023-06-29|wild_avian|A6 ,EPI_ISL_19260109,A/Herring_Gull/NL/FAV-0375-3/2023,2023.06.29,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Gull Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19260104|A/Herring_Gull/NL/FAV-0430-12/2023|H5N5|North America|2023-11-02|wild_avian|A6 ,EPI_ISL_19260104,A/Herring_Gull/NL/FAV-0430-12/2023,2023.11.02,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Middle Cove Beach,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750603|A/Black-Legged_Kittiwake/NL/OTH-0115-32/2024|H5N5|North America|2024-11-24|wild_avian|A6 ,EPI_ISL_19750603,A/Black-Legged_Kittiwake/NL/OTH-0115-32/2024,2024.11.24,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Mobile,North America,Black-Legged_Kittiwake,wild_avian,Charadriiformes
EPI_ISL_19750596|A/Herring_Gull/NL/OTH-0039-32/2024|H5N5|North America|2024-04-29|wild_avian|A6 ,EPI_ISL_19750596,A/Herring_Gull/NL/OTH-0039-32/2024,2024.04.29,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Point Lance,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750597|A/Herring_Gull/NL/OTH-0039-33/2024|H5N5|North America|2024-05-07|wild_avian|A6 ,EPI_ISL_19750597,A/Herring_Gull/NL/OTH-0039-33/2024,2024.05.07,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Point Lance,North America,Herring_Gull,wild_avian,Charadriiformes
